"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
40334,,,"","MAIAJ$",,"<topic human="""" code=""MAIAJ$"" num=""40334"" />",,,,,,
40335,,,"","MAIAE$",,"<topic human="""" code=""MAIAE$"" num=""40335"" />",,,,,,
40336,,,"","MAIAD$",,"<topic human="""" code=""MAIAD$"" num=""40336"" />",,,,,,
40337,,,"","MAIAB$",,"<topic human="""" code=""MAIAB$"" num=""40337"" />",,,,,,
40338,,,"","MAIAA$",,"<topic human="""" code=""MAIAA$"" num=""40338"" />",,,,,,
40339,,,"","MAGU8$",,"<topic human="""" code=""MAGU8$"" num=""40339"" />",,,,,,
40340,,,"","MAGU2$",,"<topic human="""" code=""MAGU2$"" num=""40340"" />",,,,,,
40341,,,"","MAGTB$",,"<topic human="""" code=""MAGTB$"" num=""40341"" />",,,,,,
40342,,,"","MAGSH$",,"<topic human="""" code=""MAGSH$"" num=""40342"" />",,,,,,
40343,,,"","MAGSD$",,"<topic human="""" code=""MAGSD$"" num=""40343"" />",,,,,,
40344,,,"","MAGSC$",,"<topic human="""" code=""MAGSC$"" num=""40344"" />",,,,,,
40345,,,"","MAGSA$",,"<topic human="""" code=""MAGSA$"" num=""40345"" />",,,,,,
40346,,,"","MAGPK$",,"<topic human="""" code=""MAGPK$"" num=""40346"" />",,,,,,
40347,,,"","MAGPJ$",,"<topic human="""" code=""MAGPJ$"" num=""40347"" />",,,,,,
40348,,,"","MAGPI$",,"<topic human="""" code=""MAGPI$"" num=""40348"" />",,,,,,
40349,,,"","MAGPE$",,"<topic human="""" code=""MAGPE$"" num=""40349"" />",,,,,,
40350,,,"","MAGPB$",,"<topic human="""" code=""MAGPB$"" num=""40350"" />",,,,,,
40351,,,"","MAGOW$",,"<topic human="""" code=""MAGOW$"" num=""40351"" />",,,,,,
40352,,,"","MAGOV$",,"<topic human="""" code=""MAGOV$"" num=""40352"" />",,,,,,
40353,,,"","MAGOU$",,"<topic human="""" code=""MAGOU$"" num=""40353"" />",,,,,,
40354,,,"","MAGON$",,"<topic human="""" code=""MAGON$"" num=""40354"" />",,,,,,
40355,,,"","MAGOK$",,"<topic human="""" code=""MAGOK$"" num=""40355"" />",,,,,,
40356,,,"","MAGOH$",,"<topic human="""" code=""MAGOH$"" num=""40356"" />",,,,,,
40357,,,"","MAGIY$",,"<topic human="""" code=""MAGIY$"" num=""40357"" />",,,,,,
40358,,,"","MAGIS$",,"<topic human="""" code=""MAGIS$"" num=""40358"" />",,,,,,
40359,,,"","MAGIR$",,"<topic human="""" code=""MAGIR$"" num=""40359"" />",,,,,,
40360,,,"","MAGIE$",,"<topic human="""" code=""MAGIE$"" num=""40360"" />",,,,,,
40361,,,"","MAGID$",,"<topic human="""" code=""MAGID$"" num=""40361"" />",,,,,,
40362,,,"","MAGCW$",,"<topic human="""" code=""MAGCW$"" num=""40362"" />",,,,,,
40363,,,"","MAGCS$",,"<topic human="""" code=""MAGCS$"" num=""40363"" />",,,,,,
40364,,,"","MAGCN$",,"<topic human="""" code=""MAGCN$"" num=""40364"" />",,,,,,
40365,,,"","MAGCH$",,"<topic human="""" code=""MAGCH$"" num=""40365"" />",,,,,,
40366,,,"","MAGCB$",,"<topic human="""" code=""MAGCB$"" num=""40366"" />",,,,,,
40367,,,"","MAGAW$",,"<topic human="""" code=""MAGAW$"" num=""40367"" />",,,,,,
40368,,,"","MAGAV$",,"<topic human="""" code=""MAGAV$"" num=""40368"" />",,,,,,
40369,,,"","MAGAU$",,"<topic human="""" code=""MAGAU$"" num=""40369"" />",,,,,,
40370,,,"","MAGAQ$",,"<topic human="""" code=""MAGAQ$"" num=""40370"" />",,,,,,
40371,,,"","MAGAP$",,"<topic human="""" code=""MAGAP$"" num=""40371"" />",,,,,,
40372,,,"","MAGAO$",,"<topic human="""" code=""MAGAO$"" num=""40372"" />",,,,,,
40373,,,"","MAGAN$",,"<topic human="""" code=""MAGAN$"" num=""40373"" />",,,,,,
40374,,,"","MAGAM$",,"<topic human="""" code=""MAGAM$"" num=""40374"" />",,,,,,
40375,,,"","MAGAI$",,"<topic human="""" code=""MAGAI$"" num=""40375"" />",,,,,,
40376,,,"","MAGAH$",,"<topic human="""" code=""MAGAH$"" num=""40376"" />",,,,,,
40377,,,"","MAGAC$",,"<topic human="""" code=""MAGAC$"" num=""40377"" />",,,,,,
40378,,,"","MAFDU$",,"<topic human="""" code=""MAFDU$"" num=""40378"" />",,,,,,
40379,,,"","MAFCS$",,"<topic human="""" code=""MAFCS$"" num=""40379"" />",,,,,,
40380,,,"","MAFCJ$",,"<topic human="""" code=""MAFCJ$"" num=""40380"" />",,,,,,
40381,,,"","MAFCH$",,"<topic human="""" code=""MAFCH$"" num=""40381"" />",,,,,,
40382,,,"","MAFCG$",,"<topic human="""" code=""MAFCG$"" num=""40382"" />",,,,,,
40383,,,"","MAFBK$",,"<topic human="""" code=""MAFBK$"" num=""40383"" />",,,,,,
40384,,,"","MAFBJ$",,"<topic human="""" code=""MAFBJ$"" num=""40384"" />",,,,,,
40385,,,"","MAFBF$",,"<topic human="""" code=""MAFBF$"" num=""40385"" />",,,,,,
40386,,,"","MAFBE$",,"<topic human="""" code=""MAFBE$"" num=""40386"" />",,,,,,
40387,,,"","MAFAT$",,"<topic human="""" code=""MAFAT$"" num=""40387"" />",,,,,,
40388,,,"","MAFAQ$",,"<topic human="""" code=""MAFAQ$"" num=""40388"" />",,,,,,
40389,,,"","MAFAO$",,"<topic human="""" code=""MAFAO$"" num=""40389"" />",,,,,,
40390,,,"","MAFAL$",,"<topic human="""" code=""MAFAL$"" num=""40390"" />",,,,,,
40391,,,"","MAFAK$",,"<topic human="""" code=""MAFAK$"" num=""40391"" />",,,,,,
40392,,,"","MAFAJ$",,"<topic human="""" code=""MAFAJ$"" num=""40392"" />",,,,,,
40393,,,"","MAFAH$",,"<topic human="""" code=""MAFAH$"" num=""40393"" />",,,,,,
40394,,,"","MACWI$",,"<topic human="""" code=""MACWI$"" num=""40394"" />",,,,,,
40395,,,"","MACRM$",,"<topic human="""" code=""MACRM$"" num=""40395"" />",,,,,,
40396,,,"","MACMF$",,"<topic human="""" code=""MACMF$"" num=""40396"" />",,,,,,
40397,,,"","MACLI$",,"<topic human="""" code=""MACLI$"" num=""40397"" />",,,,,,
40398,,,"","MACHW$",,"<topic human="""" code=""MACHW$"" num=""40398"" />",,,,,,
40399,,,"","MACFI$",,"<topic human="""" code=""MACFI$"" num=""40399"" />",,,,,,
40400,"Canada Data Tables",,"MACDT$=40400:100","MACDT$",,"<topic human=""Canada Data Tables"" code=""MACDT$"" num=""40400"" />",,,,,,
40401,,,"","MACBL$",,"<topic human="""" code=""MACBL$"" num=""40401"" />",,,,,,
40402,,,"","MACAE$",,"<topic human="""" code=""MACAE$"" num=""40402"" />",,,,,,
40403,,,"","MABI2$",,"<topic human="""" code=""MABI2$"" num=""40403"" />",,,,,,
40404,,,"","M$UAU$",,"<topic human="""" code=""M$UAU$"" num=""40404"" />",,,,,,
40405,,,"","MI$IO$",,"<topic human="""" code=""MI$IO$"" num=""40405"" />",,,,,,
40406,,,"","MAXRC$",,"<topic human="""" code=""MAXRC$"" num=""40406"" />",,,,,,
40407,,,"","MAXBU$",,"<topic human="""" code=""MAXBU$"" num=""40407"" />",,,,,,
40408,,,"","MAXBS$",,"<topic human="""" code=""MAXBS$"" num=""40408"" />",,,,,,
40409,,,"","MAUP7$",,"<topic human="""" code=""MAUP7$"" num=""40409"" />",,,,,,
40410,,,"","MAUP2$",,"<topic human="""" code=""MAUP2$"" num=""40410"" />",,,,,,
40411,,,"","MAUON$",,"<topic human="""" code=""MAUON$"" num=""40411"" />",,,,,,
40412,,,"","MAUN0$",,"<topic human="""" code=""MAUN0$"" num=""40412"" />",,,,,,
40413,,,"","MAUI8$",,"<topic human="""" code=""MAUI8$"" num=""40413"" />",,,,,,
40414,,,"","MAUI7$",,"<topic human="""" code=""MAUI7$"" num=""40414"" />",,,,,,
40415,,,"","MAUI3$",,"<topic human="""" code=""MAUI3$"" num=""40415"" />",,,,,,
40416,,,"","MAUI2$",,"<topic human="""" code=""MAUI2$"" num=""40416"" />",,,,,,
40417,,,"","MAUI1$",,"<topic human="""" code=""MAUI1$"" num=""40417"" />",,,,,,
40418,,,"","MAUI0$",,"<topic human="""" code=""MAUI0$"" num=""40418"" />",,,,,,
40419,,,"","MAUD4$",,"<topic human="""" code=""MAUD4$"" num=""40419"" />",,,,,,
40420,,,"","MAUD3$",,"<topic human="""" code=""MAUD3$"" num=""40420"" />",,,,,,
40421,,,"","MAUD2$",,"<topic human="""" code=""MAUD2$"" num=""40421"" />",,,,,,
40422,,,"","MAUD1$",,"<topic human="""" code=""MAUD1$"" num=""40422"" />",,,,,,
40423,,,"","MAUD0$",,"<topic human="""" code=""MAUD0$"" num=""40423"" />",,,,,,
40424,,,"","MAUB2$",,"<topic human="""" code=""MAUB2$"" num=""40424"" />",,,,,,
40425,,,"","MAUB1$",,"<topic human="""" code=""MAUB1$"" num=""40425"" />",,,,,,
40426,,,"","MAUB0$",,"<topic human="""" code=""MAUB0$"" num=""40426"" />",,,,,,
40427,,,"","MAU6P$",,"<topic human="""" code=""MAU6P$"" num=""40427"" />",,,,,,
40428,,,"","MAU5P$",,"<topic human="""" code=""MAU5P$"" num=""40428"" />",,,,,,
40429,,,"","MAU4P$",,"<topic human="""" code=""MAU4P$"" num=""40429"" />",,,,,,
40430,,,"","MAU3Z$",,"<topic human="""" code=""MAU3Z$"" num=""40430"" />",,,,,,
40431,,,"","MAU3P$",,"<topic human="""" code=""MAU3P$"" num=""40431"" />",,,,,,
40432,,,"","MAU2N$",,"<topic human="""" code=""MAU2N$"" num=""40432"" />",,,,,,
40433,,,"","MAU2I$",,"<topic human="""" code=""MAU2I$"" num=""40433"" />",,,,,,
40434,,,"","MAU1N$",,"<topic human="""" code=""MAU1N$"" num=""40434"" />",,,,,,
40435,,,"","MAU1I$",,"<topic human="""" code=""MAU1I$"" num=""40435"" />",,,,,,
40436,,,"","MAU0I$",,"<topic human="""" code=""MAU0I$"" num=""40436"" />",,,,,,
40437,,,"","MAICP$",,"<topic human="""" code=""MAICP$"" num=""40437"" />",,,,,,
40438,,,"","MAICD$",,"<topic human="""" code=""MAICD$"" num=""40438"" />",,,,,,
40439,,,"","MAIBY$",,"<topic human="""" code=""MAIBY$"" num=""40439"" />",,,,,,
40440,,,"","MAIBX$",,"<topic human="""" code=""MAIBX$"" num=""40440"" />",,,,,,
40441,,,"","MAIAY$",,"<topic human="""" code=""MAIAY$"" num=""40441"" />",,,,,,
40442,,,"","MAGSE$",,"<topic human="""" code=""MAGSE$"" num=""40442"" />",,,,,,
40443,,,"","MAGGB$",,"<topic human="""" code=""MAGGB$"" num=""40443"" />",,,,,,
40444,,,"","MAGGA$",,"<topic human="""" code=""MAGGA$"" num=""40444"" />",,,,,,
40445,,,"","MAGDP$",,"<topic human="""" code=""MAGDP$"" num=""40445"" />",,,,,,
40446,,,"","MAGCG$",,"<topic human="""" code=""MAGCG$"" num=""40446"" />",,,,,,
40447,,,"","MAGB4$",,"<topic human="""" code=""MAGB4$"" num=""40447"" />",,,,,,
40448,,,"","MAGAE$",,"<topic human="""" code=""MAGAE$"" num=""40448"" />",,,,,,
40449,,,"","MAFPR$",,"<topic human="""" code=""MAFPR$"" num=""40449"" />",,,,,,
40450,,,"","MAFDO$",,"<topic human="""" code=""MAFDO$"" num=""40450"" />",,,,,,
40451,,,"","MAFBY$",,"<topic human="""" code=""MAFBY$"" num=""40451"" />",,,,,,
40452,,,"","MAFBW$",,"<topic human="""" code=""MAFBW$"" num=""40452"" />",,,,,,
40453,,,"","MAFAZ$",,"<topic human="""" code=""MAFAZ$"" num=""40453"" />",,,,,,
40454,,,"","MAFAI$",,"<topic human="""" code=""MAFAI$"" num=""40454"" />",,,,,,
40455,,,"","MACRS$",,"<topic human="""" code=""MACRS$"" num=""40455"" />",,,,,,
40456,,,"","MACR2$",,"<topic human="""" code=""MACR2$"" num=""40456"" />",,,,,,
40457,,,"","MACMV$",,"<topic human="""" code=""MACMV$"" num=""40457"" />",,,,,,
40458,,,"","MACIP$",,"<topic human="""" code=""MACIP$"" num=""40458"" />",,,,,,
40459,,,"","MABG6$",,"<topic human="""" code=""MABG6$"" num=""40459"" />",,,,,,
40460,,,"","MABB1$",,"<topic human="""" code=""MABB1$"" num=""40460"" />",,,,,,
40461,,,"","M$$US$",,"<topic human="""" code=""M$$US$"" num=""40461"" />",,,,,,
40462,"US Open Market Operations",,"M$UOP$=40462:100","M$UOP$",,"<topic human=""US Open Market Operations"" code=""M$UOP$"" num=""40462"" />",,,,,,
40463,,,"","MU$$$$",,"<topic human="""" code=""MU$$$$"" num=""40463"" />",,,,,,
40464,,,"","M$OI$$",,"<topic human="""" code=""M$OI$$"" num=""40464"" />",,,,,,
40465,"Repo Market",,"MN$RP$=40465:100","MN$RP$",,"<topic human=""Repo Market"" code=""MN$RP$"" num=""40465"" />",,,,,,
40466,,,"","MN$ME$",,"<topic human="""" code=""MN$ME$"" num=""40466"" />",,,,,,
40467,,,"","MN$CN$",,"<topic human="""" code=""MN$CN$"" num=""40467"" />",,,,,,
40468,"OPEC (?????)",,"MI$OI$=40468:100","MI$OI$",,"<topic human=""OPEC (?????)"" code=""MI$OI$"" num=""40468"" />",,,,,,
40469,,,"","M$$BES",,"<topic human="""" code=""M$$BES"" num=""40469"" />",,,,,,
40470,,,"","MAXDS$",,"<topic human="""" code=""MAXDS$"" num=""40470"" />",,,,,,
40471,,,"","MAXBR$",,"<topic human="""" code=""MAXBR$"" num=""40471"" />",,,,,,
40472,,,"","MAXBG$",,"<topic human="""" code=""MAXBG$"" num=""40472"" />",,,,,,
40473,,,"","MAXAX$",,"<topic human="""" code=""MAXAX$"" num=""40473"" />",,,,,,
40474,,,"","MAXAW$",,"<topic human="""" code=""MAXAW$"" num=""40474"" />",,,,,,
40475,,,"","MAXAV$",,"<topic human="""" code=""MAXAV$"" num=""40475"" />",,,,,,
40476,,,"","MAXAU$",,"<topic human="""" code=""MAXAU$"" num=""40476"" />",,,,,,
40477,,,"","MAXAT$",,"<topic human="""" code=""MAXAT$"" num=""40477"" />",,,,,,
40478,,,"","MAXAS$",,"<topic human="""" code=""MAXAS$"" num=""40478"" />",,,,,,
40479,,,"","MAXAR$",,"<topic human="""" code=""MAXAR$"" num=""40479"" />",,,,,,
40480,,,"","MAUZ1$",,"<topic human="""" code=""MAUZ1$"" num=""40480"" />",,,,,,
40481,,,"","MAUZ0$",,"<topic human="""" code=""MAUZ0$"" num=""40481"" />",,,,,,
40482,,,"","MAUP$$",,"<topic human="""" code=""MAUP$$"" num=""40482"" />",,,,,,
40483,,,"","MAUN1$",,"<topic human="""" code=""MAUN1$"" num=""40483"" />",,,,,,
40484,,,"","MAUK7$",,"<topic human="""" code=""MAUK7$"" num=""40484"" />",,,,,,
40485,,,"","MAUG8$",,"<topic human="""" code=""MAUG8$"" num=""40485"" />",,,,,,
40486,,,"","MAUC$$",,"<topic human="""" code=""MAUC$$"" num=""40486"" />",,,,,,
40487,,,"","MAU6U$",,"<topic human="""" code=""MAU6U$"" num=""40487"" />",,,,,,
40488,,,"","MAU6C$",,"<topic human="""" code=""MAU6C$"" num=""40488"" />",,,,,,
40489,,,"","MAU5U$",,"<topic human="""" code=""MAU5U$"" num=""40489"" />",,,,,,
40490,,,"","MAU5C4",,"<topic human="""" code=""MAU5C4"" num=""40490"" />",,,,,,
40491,,,"","MAU4U$",,"<topic human="""" code=""MAU4U$"" num=""40491"" />",,,,,,
40492,,,"","MAU3U$",,"<topic human="""" code=""MAU3U$"" num=""40492"" />",,,,,,
40493,,,"","MAU2U$",,"<topic human="""" code=""MAU2U$"" num=""40493"" />",,,,,,
40494,,,"","MAU2Q$",,"<topic human="""" code=""MAU2Q$"" num=""40494"" />",,,,,,
40495,,,"","MAU2H$",,"<topic human="""" code=""MAU2H$"" num=""40495"" />",,,,,,
40496,,,"","MAIDG$",,"<topic human="""" code=""MAIDG$"" num=""40496"" />",,,,,,
40497,,,"","MAIDF$",,"<topic human="""" code=""MAIDF$"" num=""40497"" />",,,,,,
40498,,,"","MAIDE$",,"<topic human="""" code=""MAIDE$"" num=""40498"" />",,,,,,
40499,,,"","MAICQ$",,"<topic human="""" code=""MAICQ$"" num=""40499"" />",,,,,,
40500,,,"","MAICO$",,"<topic human="""" code=""MAICO$"" num=""40500"" />",,,,,,
40501,,,"","MAIBD$",,"<topic human="""" code=""MAIBD$"" num=""40501"" />",,,,,,
40502,,,"","MAIBC$",,"<topic human="""" code=""MAIBC$"" num=""40502"" />",,,,,,
40503,,,"","MAIBB$",,"<topic human="""" code=""MAIBB$"" num=""40503"" />",,,,,,
40504,,,"","MAIAU$",,"<topic human="""" code=""MAIAU$"" num=""40504"" />",,,,,,
40505,,,"","MAIAT$",,"<topic human="""" code=""MAIAT$"" num=""40505"" />",,,,,,
40506,,,"","MAGOG$",,"<topic human="""" code=""MAGOG$"" num=""40506"" />",,,,,,
40507,,,"","MAGOF$",,"<topic human="""" code=""MAGOF$"" num=""40507"" />",,,,,,
40508,,,"","MAGGP$",,"<topic human="""" code=""MAGGP$"" num=""40508"" />",,,,,,
40509,,,"","MAGGO$",,"<topic human="""" code=""MAGGO$"" num=""40509"" />",,,,,,
40510,,,"","MAGGN$",,"<topic human="""" code=""MAGGN$"" num=""40510"" />",,,,,,
40511,,,"","MAGGM$",,"<topic human="""" code=""MAGGM$"" num=""40511"" />",,,,,,
40512,,,"","MAGFC$",,"<topic human="""" code=""MAGFC$"" num=""40512"" />",,,,,,
40513,,,"","MAGFB$",,"<topic human="""" code=""MAGFB$"" num=""40513"" />",,,,,,
40514,,,"","MAGFA$",,"<topic human="""" code=""MAGFA$"" num=""40514"" />",,,,,,
40515,,,"","MAGAT$",,"<topic human="""" code=""MAGAT$"" num=""40515"" />",,,,,,
40516,,,"","MAGA4$",,"<topic human="""" code=""MAGA4$"" num=""40516"" />",,,,,,
40517,,,"","MAFDH$",,"<topic human="""" code=""MAFDH$"" num=""40517"" />",,,,,,
40518,,,"","MAFDG$",,"<topic human="""" code=""MAFDG$"" num=""40518"" />",,,,,,
40519,,,"","MAFDF$",,"<topic human="""" code=""MAFDF$"" num=""40519"" />",,,,,,
40520,,,"","MAFDE$",,"<topic human="""" code=""MAFDE$"" num=""40520"" />",,,,,,
40521,,,"","MAFDD$",,"<topic human="""" code=""MAFDD$"" num=""40521"" />",,,,,,
40522,,,"","MAFDC$",,"<topic human="""" code=""MAFDC$"" num=""40522"" />",,,,,,
40523,,,"","MAFCP$",,"<topic human="""" code=""MAFCP$"" num=""40523"" />",,,,,,
40524,,,"","MAFCO$",,"<topic human="""" code=""MAFCO$"" num=""40524"" />",,,,,,
40525,,,"","MAFCN$",,"<topic human="""" code=""MAFCN$"" num=""40525"" />",,,,,,
40526,,,"","MAFBU$",,"<topic human="""" code=""MAFBU$"" num=""40526"" />",,,,,,
40527,,,"","MAFBC$",,"<topic human="""" code=""MAFBC$"" num=""40527"" />",,,,,,
40528,,,"","MAFBB$",,"<topic human="""" code=""MAFBB$"" num=""40528"" />",,,,,,
40529,,,"","MAFAY$",,"<topic human="""" code=""MAFAY$"" num=""40529"" />",,,,,,
40530,,,"","MAFAV$",,"<topic human="""" code=""MAFAV$"" num=""40530"" />",,,,,,
40531,,,"","MAFAU$",,"<topic human="""" code=""MAFAU$"" num=""40531"" />",,,,,,
40532,"Mexican News",,"M$M$$$=40532:100","M$M$$$",,"<topic human=""Mexican News"" code=""M$M$$$"" num=""40532"" />",,,,,,
40533,"Retail Sales Index",,"MDURE$=40533:100","MDURE$",,"<topic human=""Retail Sales Index"" code=""MDURE$"" num=""40533"" />",,,,,,
40544,"Capital Goods Index",,"MDUCG$=40544:100","MDUCG$",,"<topic human=""Capital Goods Index"" code=""MDUCG$"" num=""40544"" />",,,,,,
40545,"China News Briefs",,"MBQ$$$=40545:100","MBQ$$$",,"<topic human=""China News Briefs"" code=""MBQ$$$"" num=""40545"" />",,,,,,
40546,"Chinese News",,"M$Q$$$=40546:100","M$Q$$$","???","<topic human=""Chinese News"" code=""M$Q$$$"" num=""40546"" />",,,,,,
40547,"XFN/MNI China Survey",,"MDQCB$=40547:100","MDQCB$",,"<topic human=""XFN/MNI China Survey"" code=""MDQCB$"" num=""40547"" />",,,,,,
40548,"Spain Data Stories",,"MASDS$=40548:100","MASDS$",,"<topic human=""Spain Data Stories"" code=""MASDS$"" num=""40548"" />",,,,,,
40549,"UK Data",,"MABDA$=40549:100","MABDA$",,"<topic human=""UK Data"" code=""MABDA$"" num=""40549"" />",,,,,,
40550,"UK Data Tables",,"MABDT$=40550:100","MABDT$",,"<topic human=""UK Data Tables"" code=""MABDT$"" num=""40550"" />",,,,,,
40551,"Mexico Data",,"MAMDA$=40551:100","MAMDA$",,"<topic human=""Mexico Data"" code=""MAMDA$"" num=""40551"" />",,,,,,
40552,"Mexico Data Tables",,"MAMDT$=40552:100","MAMDT$",,"<topic human=""Mexico Data Tables"" code=""MAMDT$"" num=""40552"" />",,,,,,
40553,"Japan Data",,"MAJDA$=40553:100","MAJDA$",,"<topic human=""Japan Data"" code=""MAJDA$"" num=""40553"" />",,,,,,
40554,"Japan Data Stories",,"MAJDS$=40554:100","MAJDS$",,"<topic human=""Japan Data Stories"" code=""MAJDS$"" num=""40554"" />",,,,,,
40555,"Japan Data Tables",,"MAJDT$=40555:100","MAJDT$",,"<topic human=""Japan Data Tables"" code=""MAJDT$"" num=""40555"" />",,,,,,
40556,"BOJ General",,"MMJBJ$=40556:100","MMJBJ$",,"<topic human=""BOJ General"" code=""MMJBJ$"" num=""40556"" />",,,,,,
40557,"China Data",,"MAQDA$=40557:100","MAQDA$",,"<topic human=""China Data"" code=""MAQDA$"" num=""40557"" />",,,,,,
40558,"China Data Stories",,"MAQDS$=40558:100","MAQDS$",,"<topic human=""China Data Stories"" code=""MAQDS$"" num=""40558"" />",,,,,,
40559,"China Data Tables",,"MAQDT$=40559:100","MAQDT$",,"<topic human=""China Data Tables"" code=""MAQDT$"" num=""40559"" />",,,,,,
40560,"Canada Data Stories",,"MACDS$=40560:100","MACDS$",,"<topic human=""Canada Data Stories"" code=""MACDS$"" num=""40560"" />",,,,,,
40661,"Supranational Organizations",,"MN$SU$=40661:100","MN$SU$",,"<topic human=""Supranational Organizations"" code=""MN$SU$"" num=""40661"" />",,,,,,
40662,"Mortgage-backed Securities",,"MN$MO$=40662:100","MN$MO$",,"<topic human=""Mortgage-backed Securities"" code=""MN$MO$"" num=""40662"" />",,,,,,
40663,"Money Market",,"MN$MM$=40663:100","MN$MM$",,"<topic human=""Money Market"" code=""MN$MM$"" num=""40663"" />",,,,,,
40664,"US Asset-backed debt",,"MNUAB$=40664:100","MNUAB$",,"<topic human=""US Asset-backed debt"" code=""MNUAB$"" num=""40664"" />",,,,,,
40665,"US Asset-backed auto debt",,"MNUAA$=40665:100","MNUAA$",,"<topic human=""US Asset-backed auto debt"" code=""MNUAA$"" num=""40665"" />",,,,,,
40666,"US Asset-backed housing debt",,"MNUAM$=40666:100","MNUAM$",,"<topic human=""US Asset-backed housing debt"" code=""MNUAM$"" num=""40666"" />",,,,,,
40667,"US Asset-backed credit card debt",,"MNUAC$=40667:100","MNUAC$",,"<topic human=""US Asset-backed credit card debt"" code=""MNUAC$"" num=""40667"" />",,,,,,
40668,"US Asset-backed student loan debt",,"MNUAS$=40668:100","MNUAS$",,"<topic human=""US Asset-backed student loan debt"" code=""MNUAS$"" num=""40668"" />",,,,,,
40669,"CEO Interview",,"MXUCE$=40669:100","MXUCE$",,"<topic human=""CEO Interview"" code=""MXUCE$"" num=""40669"" />",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
60000,"Bank Of England State Of Play",,,,,,,,,,,
60001,"Foreign Exchange Expectations Survey",,,,,,,,,,,
60002,"US Key Indicators Summary",,,,,,,,,,,
60003,"Bank Of England",,,,,,,,,,,
60004,"US Markets Calendar",,,,,,,,,,,
60005,"Market Talk",,,,,,,,,,,
60006,"US Agency Debt Spreads",,,,,,,,,,,
60007,"Credit Spreads",,,,,,,,,,,
60008,"Foreign Exchange Bullet Points",,,,,,,,,,,
60009,"Fixed Income Bullet Points",,,,,,,,,,,
60010,"Market Glance",,,,,,,,,,,
60011,"Technicals",,,,,,,,,,,
60012,"US Corporate Agency Bond Calendar",,,,,,,,,,,
60013,"Economic Data Review",,,,,,,,,,,
60014,"Federal Reserve State Of Play",,,,,,,,,,,
60015,"US Treasury Options Volatilities",,,,,,,,,,,
60016,"European Central Bank",,,,,,,,,,,
60017,"ECB State Of Play",,,,,,,,,,,
60018,"Monetary Policy",,,,,,,,,,,
60019,"Canada/Mexico Data Calendar",,,,,,,,,,,
60020,"Canada Economic Data Calendar",,,,,,,,,,,
60021,"Central Bank Rate Actions",,,,,,,,,,,
60022,"Congress Watch",,,,,,,,,,,
60023,"Eurozone/UK Bond Calendar",,,,,,,,,,,
60024,"US Forecast Highlights",,,,,,,,,,,
60025,"US Forecast Surveys",,,,,,,,,,,
